seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	153920813	153920910	98	*	X04871	9909	153901977	153919154	17178	-	1658	upstream	1658	DENND4B
chr1	154936072	154936158	87	*	X04959	90780	154929502	154934258	4757	-	1813	upstream	1813	PYGO2
chr1	155106536	155106655	120	*	X04987	55974	155108288	155111334	3047	+	1632	upstream	1632	SLC50A1
chr1	155180593	155180742	150	*	X04989	7059	155165379	155178969	13591	-	1623	upstream	1623	THBS3
chr1	155227163	155227276	114	*	X04992	10712	155216996	155225274	8279	-	1888	upstream	1888	FAM189B
chr1	155288560	155288679	120	*	X05016	23623	155290640	155300909	10270	+	1960	upstream	1960	RUSC1
chr1	155289455	155289604	150	*	X05017	23623	155290640	155300909	10270	+	1035	upstream	1035	RUSC1
chr1	155290015	155290239	225	*	X05018	23623	155290640	155300909	10270	+	400	upstream	400	RUSC1
chr1	155290390	155290561	172	*	X05019	23623	155290640	155300909	10270	+	78	upstream	78	RUSC1
chr1	155755281	155755400	120	*	X05053	55249	155629233	155755165	125933	-	115	upstream	115	YY1AP1
chr1	156181526	156181675	150	*	X05163	100527963	156182779	156213123	30345	+	1103	upstream	1103	PMF1-BGLAP
chr1	156181526	156181675	150	*	X05163	11243	156182779	156209868	27090	+	1103	upstream	1103	PMF1
chr1	156181841	156181966	126	*	X05164	100527963	156182779	156213123	30345	+	812	upstream	812	PMF1-BGLAP
chr1	156181841	156181966	126	*	X05164	11243	156182779	156209868	27090	+	812	upstream	812	PMF1
chr1	156219210	156219251	42	*	X05179	79957	156213112	156217908	4797	-	1301	upstream	1301	PAQR6
chr1	156219432	156219491	60	*	X05180	79957	156213112	156217908	4797	-	1523	upstream	1523	PAQR6
chr1	156219873	156219992	120	*	X05181	79957	156213112	156217908	4797	-	1964	upstream	1964	PAQR6
chr1	156696994	156697038	45	*	X05282	51093	156698263	156706752	8490	+	1224	upstream	1224	METTL25B
chr1	157096669	157096913	245	*	X05329	360155	157098154	157098463	310	+	1240	upstream	1240	CYCSP52
chr1	161009467	161009586	120	*	X05403	100131187	161007422	161008774	1353	-	692	upstream	692	TSTD1
chr1	161009467	161009586	120	*	X05403	50848	160965001	161008774	43774	-	692	upstream	692	F11R
chr1	161009932	161010051	120	*	X05404	100131187	161007422	161008774	1353	-	1157	upstream	1157	TSTD1
chr1	161009932	161010051	120	*	X05404	50848	160965001	161008774	43774	-	1157	upstream	1157	F11R
chr1	161010444	161010578	135	*	X05405	100131187	161007422	161008774	1353	-	1669	upstream	1669	TSTD1
chr1	161010444	161010578	135	*	X05405	50848	160965001	161008774	43774	-	1669	upstream	1669	F11R
chr1	161134877	161135011	135	*	X05430	5498	161136181	161147801	11621	+	1169	upstream	1169	PPOX
chr1	161184428	161184467	40	*	X05442	2207	161185087	161189038	3952	+	619	upstream	619	FCER1G
chr1	165876763	165876897	135	*	X05525	100500832	165877158	165877213	56	+	260	upstream	260	MIR3658
chr1	173832106	173832113	8	*	X05650	100506046	173832386	173833079	694	+	272	upstream	272	GAS5-AS1
chr1	203697296	203697399	104	*	X05918	677843	203698709	203698833	125	+	1309	upstream	1309	SNORA77
chr1	204339487	204339620	134	*	X05985	127841	204337558	204338847	1290	-	639	upstream	639	LINC00628
chr1	205054053	205054187	135	*	X05998	388730	205052257	205053588	1332	-	464	upstream	464	TMEM81
chr1	207976369	207976398	30	*	X06111	407026	207975197	207975868	672	-	500	upstream	500	MIR29C
chr1	207977139	207977225	87	*	X06112	407026	207975197	207975868	672	-	1270	upstream	1270	MIR29C
chr1	207977464	207977718	255	*	X06113	407026	207975197	207975868	672	-	1595	upstream	1595	MIR29C
chr1	207990381	207990503	123	*	X06127	148696	207991724	207995941	4218	+	1220	upstream	1220	LOC148696
chr1	207991431	207991497	67	*	X06128	148696	207991724	207995941	4218	+	226	upstream	226	LOC148696
chr1	207991894	207992088	195	*	X06129	148696	207991724	207995941	4218	+	0	inside	169	LOC148696
chr1	224587510	224587659	150	*	X06316	100616468	224585929	224586013	85	-	1496	upstream	1496	MIR4742
chr1	228284702	228284811	110	*	X06488	100500810	228284964	228285042	79	+	152	upstream	152	MIR3620
chr1	228284937	228284967	31	*	X06489	100500810	228284964	228285042	79	+	0	overlapStart	0	MIR3620
chr1	228285011	228285096	86	*	X06490	100500810	228284964	228285042	79	+	0	overlapEnd	46	MIR3620
chr1	229438349	229438406	58	*	X06533	10638	229440129	229441250	1122	+	1722	upstream	1722	NA
chr1	236689639	236689773	135	*	X06730	100287902	236686369	236687808	1440	-	1830	upstream	1830	LGALS8-AS1
chr1	245010019	245010153	135	*	X06781	284702	245003940	245010243	6304	-	0	inside	89	NA
chr10	3183478	3183582	105	*	X06995	100507034	3183793	3190821	7029	+	210	upstream	210	PITRM1-AS1
chr10	3183973	3184026	54	*	X06996	100507034	3183793	3190821	7029	+	0	inside	179	PITRM1-AS1
chr10	15198206	15198333	128	*	X07213	100192204	15196721	15197346	626	-	859	upstream	859	PPIAP30
chr10	28833986	28834075	90	*	X07367	100847088	28835325	28835346	22	+	1249	upstream	1249	MIR5586
chr10	75005019	75005135	117	*	X07824	414245	75007125	75036742	29618	+	1989	upstream	1989	DNAJC9-AS1
chr10	75530111	75530350	240	*	X07853	170384	75532049	75535976	3928	+	1698	upstream	1698	FUT11
chr10	75530615	75530725	111	*	X07854	170384	75532049	75535976	3928	+	1323	upstream	1323	FUT11
chr10	75530936	75531055	120	*	X07855	170384	75532049	75535976	3928	+	993	upstream	993	FUT11
chr10	77159453	77159647	195	*	X07952	100131213	77161286	77168740	7455	+	1638	upstream	1638	ZNF503-AS2
chr10	91352693	91352776	84	*	X08465	406901	91352504	91352584	81	-	108	upstream	108	MIR107
chr10	94819667	94819761	95	*	X08510	340665	94821021	94828454	7434	+	1259	upstream	1259	CYP26C1
chr10	94819816	94819950	135	*	X08511	340665	94821021	94828454	7434	+	1070	upstream	1070	CYP26C1
chr10	94819966	94820010	45	*	X08512	340665	94821021	94828454	7434	+	1010	upstream	1010	CYP26C1
chr10	101998775	101998788	14	*	X08816	677800	101996913	101997059	147	-	1715	upstream	1715	SNORA12
chr10	102733041	102733220	180	*	X08847	693193	102734742	102734841	100	+	1521	upstream	1521	MIR608
chr10	103360870	103360954	85	*	X08888	100422900	103361174	103361254	81	+	219	upstream	219	MIR3158-1
chr10	103361105	103361126	22	*	X08889	100422900	103361174	103361254	81	+	47	upstream	47	MIR3158-1
chr10	105506384	105506653	270	*	X09245	100505839	105506537	105515167	8631	+	0	overlapStart	0	SH3PXD2A-AS1
chr10	112696738	112696872	135	*	X09334	644511	112696361	112697013	653	-	0	inside	140	RPL13AP6
chr10	113943148	113943282	135	*	X09350	57678	113909622	113943537	33916	-	0	inside	254	GPAM
chr10	113943313	113943390	78	*	X09351	57678	113909622	113943537	33916	-	0	inside	146	GPAM
chr11	508162	508281	120	*	X09999	6050	494512	507283	12772	-	878	upstream	878	RNH1
chr11	617972	618091	120	*	X10049	3665	612555	615999	3445	-	1972	upstream	1972	IRF7
chr11	779097	779216	120	*	X10113	347862	767223	777487	10265	-	1609	upstream	1609	GATD1
chr11	779097	779216	120	*	X10113	171391	779454	780755	1302	+	237	upstream	237	LOC171391
chr11	811515	811649	135	*	X10116	619565	811681	811814	134	+	31	upstream	31	SNORA52
chr11	824626	824805	180	*	X10127	283229	826157	831991	5835	+	1351	upstream	1351	CRACR2B
chr11	824897	825150	254	*	X10128	283229	826157	831991	5835	+	1006	upstream	1006	CRACR2B
chr11	2155337	2155621	285	*	X10269	619552	2155364	2155439	76	-	0	includeFeature	0	MIR483
chr11	2155673	2155951	279	*	X10270	619552	2155364	2155439	76	-	233	upstream	233	MIR483
chr11	2155997	2156116	120	*	X10271	619552	2155364	2155439	76	-	557	upstream	557	MIR483
chr11	2156237	2156279	43	*	X10272	619552	2155364	2155439	76	-	797	upstream	797	MIR483
chr11	2156312	2156371	60	*	X10273	619552	2155364	2155439	76	-	872	upstream	872	MIR483
chr11	2156738	2156784	47	*	X10274	619552	2155364	2155439	76	-	1298	upstream	1298	MIR483
chr11	2156821	2156872	52	*	X10275	619552	2155364	2155439	76	-	1381	upstream	1381	MIR483
chr11	2157107	2157376	270	*	X10276	619552	2155364	2155439	76	-	1667	upstream	1667	MIR483
chr11	2927148	2927336	189	*	X10316	5003	2909327	2925175	15849	-	1972	upstream	1972	SLC22A18AS
chr11	2985785	2985904	120	*	X10333	677833	2985001	2985123	123	-	661	upstream	661	SNORA54
chr11	3693261	3693395	135	*	X10376	57053	3686817	3692614	5798	-	646	upstream	646	CHRNA10
chr11	3693925	3694039	115	*	X10377	57053	3686817	3692614	5798	-	1310	upstream	1310	CHRNA10
chr11	9448355	9448489	135	*	X10565	677808	9450313	9450501	189	+	1823	upstream	1823	SNORA23
chr11	43918761	43918857	97	*	X10966	729799	43918853	43921424	2572	+	0	overlapStart	0	SEC14L1P1
chr11	46397512	46397628	117	*	X11028	100616368	46397952	46398034	83	+	323	upstream	323	MIR4688
chr11	46472465	46472583	119	*	X11053	100422825	46473357	46473437	81	+	773	upstream	773	MIR3160-2
chr11	47200411	47200560	150	*	X11167	84364	47185849	47198676	12828	-	1734	upstream	1734	ARFGAP2
chr11	47200570	47200719	150	*	X11168	84364	47185849	47198676	12828	-	1893	upstream	1893	ARFGAP2
chr11	57093831	57093943	113	*	X11297	85456	57067103	57092413	25311	-	1417	upstream	1417	TNKS1BP1
chr11	57508633	57508777	145	*	X11350	280636	57508722	57510883	2162	+	0	overlapStart	0	SELENOH
chr11	59362284	59362673	390	*	X11374	100422880	59362550	59362631	82	-	0	includeFeature	0	MIR3162
chr11	59362849	59362968	120	*	X11375	100422880	59362550	59362631	82	-	217	upstream	217	MIR3162
chr11	59364137	59364256	120	*	X11376	100422880	59362550	59362631	82	-	1505	upstream	1505	MIR3162
chr11	59364392	59364481	90	*	X11377	100422880	59362550	59362631	82	-	1760	upstream	1760	MIR3162
chr11	59364522	59364526	5	*	X11378	100422880	59362550	59362631	82	-	1890	upstream	1890	MIR3162
chr11	61109728	61109862	135	*	X11485	1642	61066919	61110047	43129	-	0	inside	184	DDB1
chr11	61110322	61110456	135	*	X11486	1642	61066919	61110047	43129	-	274	upstream	274	DDB1
chr11	61110613	61110747	135	*	X11487	1642	61066919	61110047	43129	-	565	upstream	565	DDB1
chr11	61111318	61111641	324	*	X11488	1642	61066919	61110047	43129	-	1270	upstream	1270	DDB1
chr11	62343729	62343873	145	*	X11671	1937	62327073	62342401	15329	-	1327	upstream	1327	EEF1G
chr11	62415676	62415810	135	*	X11711	23193	62392298	62414198	21901	-	1477	upstream	1477	GANAB
chr11	62458407	62458526	120	*	X11713	221091	62453874	62457371	3498	-	1035	upstream	1035	LRRN4CL
chr11	62458587	62458811	225	*	X11714	221091	62453874	62457371	3498	-	1215	upstream	1215	LRRN4CL
chr11	62458932	62459051	120	*	X11715	221091	62453874	62457371	3498	-	1560	upstream	1560	LRRN4CL
chr11	62475288	62475371	84	*	X11722	2785	62475066	62476678	1613	+	0	inside	221	GNG3
chr11	62574578	62574580	3	*	X11753	10482	62559598	62572964	13367	-	1613	upstream	1613	NXF1
chr11	62574802	62574892	91	*	X11754	10482	62559598	62572964	13367	-	1837	upstream	1837	NXF1
chr11	64083439	64083618	180	*	X11869	25824	64085560	64089295	3736	+	1941	upstream	1941	PRDX5
chr11	64083721	64083870	150	*	X11870	25824	64085560	64089295	3736	+	1689	upstream	1689	PRDX5
chr11	64135406	64135473	68	*	X11879	100302280	64136074	64136175	102	+	600	upstream	600	MIR1237
chr11	64572347	64572488	142	*	X11895	5871	64556609	64570713	14105	-	1633	upstream	1633	MAP4K2
chr11	64856211	64856330	120	*	X11983	100130348	64855844	64856542	699	-	0	inside	211	TMEM262
chr11	64856682	64856831	150	*	X11984	100130348	64855844	64856542	699	-	139	upstream	139	TMEM262
chr11	64886316	64886435	120	*	X11990	741	64883875	64885170	1296	-	1145	upstream	1145	ZNHIT2
chr11	64887666	64887815	150	*	X11991	740	64889655	64894841	5187	+	1839	upstream	1839	MRPL49
chr11	65339525	65339650	126	*	X12087	254100	65336691	65337884	1194	-	1640	upstream	1640	ZNRD2-DT
chr11	65339525	65339650	126	*	X12087	23625	65339820	65341669	1850	+	169	upstream	169	FAM89B
chr11	65365257	65365496	240	*	X12088	10089	65360326	65363467	3142	-	1789	upstream	1789	KCNK7
chr11	65402045	65402179	135	*	X12133	100616292	65403781	65403840	60	+	1601	upstream	1601	MIR4690
chr11	65402315	65402464	150	*	X12134	100616292	65403781	65403840	60	+	1316	upstream	1316	MIR4690
chr11	65402597	65402731	135	*	X12135	100616292	65403781	65403840	60	+	1049	upstream	1049	MIR4690
chr11	65402840	65402943	104	*	X12136	100616292	65403781	65403840	60	+	837	upstream	837	MIR4690
chr11	65403291	65403425	135	*	X12137	100616292	65403781	65403840	60	+	355	upstream	355	MIR4690
chr11	65403561	65403785	225	*	X12138	100616292	65403781	65403840	60	+	0	overlapStart	0	MIR4690
chr11	65403561	65403785	225	*	X12138	6494	65405578	65418391	12814	+	1792	upstream	1792	SIPA1
chr11	65403801	65403837	37	*	X12139	100616292	65403781	65403840	60	+	0	inside	19	MIR4690
chr11	65403801	65403837	37	*	X12139	6494	65405578	65418391	12814	+	1740	upstream	1740	SIPA1
chr11	65404116	65404229	114	*	X12140	6494	65405578	65418391	12814	+	1348	upstream	1348	SIPA1
chr11	65836055	65836189	135	*	X12229	55690	65837824	66012218	174395	+	1634	upstream	1634	PACS1
chr11	66106136	66106241	106	*	X12260	9610	66099542	66104311	4770	-	1824	upstream	1824	RIN1
chr11	67069116	67069381	266	*	X12411	54961	67070919	67080078	9160	+	1537	upstream	1537	SSH3
chr11	67069397	67069430	34	*	X12412	54961	67070919	67080078	9160	+	1488	upstream	1488	SSH3
chr11	67800051	67800144	94	*	X12451	100616403	67801364	67801448	85	+	1219	upstream	1219	MIR4691
chr11	67800637	67800879	243	*	X12452	100616403	67801364	67801448	85	+	484	upstream	484	MIR4691
chr11	70129670	70129789	120	*	X12708	100313770	70130061	70130176	116	+	271	upstream	271	MIR548K
chr11	70129850	70129851	2	*	X12709	100313770	70130061	70130176	116	+	209	upstream	209	MIR548K
chr11	70718942	70719001	60	*	X12914	100500844	70718375	70718473	99	-	468	upstream	468	MIR3664
chr11	70935507	70935626	120	*	X13029	22941	70313961	70935842	621882	-	0	inside	215	SHANK2
chr11	70937416	70937505	90	*	X13030	22941	70313961	70935842	621882	-	1573	upstream	1573	SHANK2
chr11	73660224	73660424	201	*	X13413	374407	73661364	73681332	19969	+	939	upstream	939	DNAJB13
chr11	75046733	75046897	165	*	X13515	442900	75046136	75046230	95	-	502	upstream	502	MIR326
chr11	75047303	75047452	150	*	X13516	442900	75046136	75046230	95	-	1072	upstream	1072	MIR326
chr11	75113778	75113927	150	*	X13518	114599	75115465	75115610	146	+	1537	upstream	1537	SNORD15B
chr11	93453756	93453913	158	*	X13734	619383	93454680	93455032	353	+	766	upstream	766	SCARNA9
chr11	117074278	117074409	132	*	X13953	100652768	117066329	117072630	6302	-	1647	upstream	1647	LOC100652768
chr11	117160141	117160260	120	*	X13962	100379571	117162062	117162857	796	+	1801	upstream	1801	BACE1-AS
chr11	118887249	118887383	135	*	X14064	51399	118889241	118894385	5145	+	1857	upstream	1857	TRAPPC4
chr11	118967202	118967204	3	*	X14087	3014	118964585	118966177	1593	-	1024	upstream	1024	H2AX
chr12	6665793	6666001	209	*	X14700	25900	6647539	6665249	17711	-	543	upstream	543	IFFO1
chr12	6666212	6666346	135	*	X14701	25900	6647539	6665249	17711	-	962	upstream	962	IFFO1
chr12	6690842	6690976	135	*	X14713	677780	6690639	6690775	137	-	66	upstream	66	SCARNA11
chr12	6692297	6692431	135	*	X14714	677780	6690639	6690775	137	-	1521	upstream	1521	SCARNA11
chr12	6947289	6947350	62	*	X14768	2784	6949118	6956557	7440	+	1767	upstream	1767	GNB3
chr12	6947734	6947868	135	*	X14769	2784	6949118	6956557	7440	+	1249	upstream	1249	GNB3
chr12	6948274	6948336	63	*	X14770	2784	6949118	6956557	7440	+	781	upstream	781	GNB3
chr12	6948919	6948924	6	*	X14771	2784	6949118	6956557	7440	+	193	upstream	193	GNB3
chr12	7031530	7031654	125	*	X14811	1822	7033626	7053815	20190	+	1971	upstream	1971	ATN1
chr12	7031856	7031919	64	*	X14812	1822	7033626	7053815	20190	+	1706	upstream	1706	ATN1
chr12	7076900	7077054	155	*	X14819	677777	7076500	7076769	270	-	130	upstream	130	SCARNA12
chr12	7077175	7077324	150	*	X14820	677777	7076500	7076769	270	-	405	upstream	405	SCARNA12
chr12	7078195	7078314	120	*	X14821	677777	7076500	7076769	270	-	1425	upstream	1425	SCARNA12
chr12	7078195	7078314	120	*	X14821	10436	7079944	7105520	25577	+	1629	upstream	1629	EMG1
chr12	13131498	13131664	167	*	X14952	100506314	13132771	13137576	4806	+	1106	upstream	1106	GPRC5D-AS1
chr12	49165672	49165806	135	*	X15261	100616262	49165758	49165820	63	-	0	overlapEnd	13	MIR4701
chr12	49165895	49166091	197	*	X15262	100616262	49165758	49165820	63	-	74	upstream	74	MIR4701
chr12	49167427	49167711	285	*	X15263	100616262	49165758	49165820	63	-	1606	upstream	1606	MIR4701
chr12	49394676	49394795	120	*	X15292	23109	49388933	49393088	4156	-	1587	upstream	1587	DDN
chr12	49449498	49449538	41	*	X15342	8085	49412758	49449107	36350	-	390	upstream	390	KMT2D
chr12	49449599	49449661	63	*	X15343	8085	49412758	49449107	36350	-	491	upstream	491	KMT2D
chr12	49782878	49783012	135	*	X15367	100335030	49782957	49786116	3160	+	0	overlapStart	0	LOC100335030
chr12	53344004	53344085	82	*	X15536	3856	53290971	53343650	52680	-	353	upstream	353	KRT8
chr12	53344197	53344391	195	*	X15537	3856	53290971	53343650	52680	-	546	upstream	546	KRT8
chr12	53345007	53345141	135	*	X15538	3856	53290971	53343650	52680	-	1356	upstream	1356	KRT8
chr12	53345427	53345561	135	*	X15539	3856	53290971	53343650	52680	-	1776	upstream	1776	KRT8
chr12	53345601	53345735	135	*	X15540	3856	53290971	53343650	52680	-	1950	upstream	1950	KRT8
chr12	53449199	53449356	158	*	X15554	283335	53436973	53448222	11250	-	976	upstream	976	LOC283335
chr12	53449582	53449731	150	*	X15555	283335	53436973	53448222	11250	-	1359	upstream	1359	LOC283335
chr12	53901168	53901199	32	*	X15637	8620	53900474	53901422	949	-	0	inside	222	NPFF
chr12	53907495	53907597	103	*	X15638	100652999	53907768	53911392	3625	+	170	upstream	170	LOC100652999
chr12	53908003	53908152	150	*	X15639	100652999	53907768	53911392	3625	+	0	inside	234	LOC100652999
chr12	56112730	56112900	171	*	X15672	5959	56114151	56118526	4376	+	1250	upstream	1250	RDH5
chr12	56112931	56113072	142	*	X15673	5959	56114151	56118526	4376	+	1078	upstream	1078	RDH5
chr12	56622954	56622955	2	*	X15781	283375	56623820	56631629	7810	+	864	upstream	864	SLC39A5
chr12	57585835	57586314	480	*	X15996	100302201	57588287	57588359	73	+	1972	upstream	1972	MIR1228
chr12	57586330	57586644	315	*	X15997	100302201	57588287	57588359	73	+	1642	upstream	1642	MIR1228
chr12	57586720	57586982	263	*	X15998	100302201	57588287	57588359	73	+	1304	upstream	1304	MIR1228
chr12	57587005	57587139	135	*	X15999	100302201	57588287	57588359	73	+	1147	upstream	1147	MIR1228
chr12	57587425	57587544	120	*	X16000	100302201	57588287	57588359	73	+	742	upstream	742	MIR1228
chr12	57587658	57587949	292	*	X16001	100302201	57588287	57588359	73	+	337	upstream	337	MIR1228
chr12	57588025	57588159	135	*	X16002	100302201	57588287	57588359	73	+	127	upstream	127	MIR1228
chr12	57588265	57588759	495	*	X16003	100302201	57588287	57588359	73	+	0	includeFeature	0	MIR1228
chr12	57884298	57884432	135	*	X16067	64333	57866038	57882597	16560	-	1700	upstream	1700	ARHGAP9
chr12	58164389	58164613	225	*	X16131	25895	58166383	58176324	9942	+	1769	upstream	1769	EEF1AKMT3
chr12	58219612	58219746	135	*	X16140	407016	58218392	58218475	84	-	1136	upstream	1136	MIR26A2
chr12	58219930	58220031	102	*	X16141	407016	58218392	58218475	84	-	1454	upstream	1454	MIR26A2
chr12	72244942	72245043	102	*	X16305	729633	72242074	72244763	2690	-	178	upstream	178	MRS2P2
chr12	100567015	100567055	41	*	X16432	55592	100550175	100567121	16947	-	0	inside	65	GOLGA2P5
chr12	100591929	100591969	41	*	X16435	64431	100593865	100635629	41765	+	1895	upstream	1895	ACTR6
chr12	102132962	102133000	39	*	X16469	50511	102122426	102133250	10825	-	0	inside	249	SYCP3
chr12	110889734	110889819	86	*	X16775	10094	110872706	110888158	15453	-	1575	upstream	1575	ARPC3
chr12	120151420	120151554	135	*	X17222	100302274	120151439	120151529	91	-	0	includeFeature	0	MIR1178
chr12	120594389	120594538	150	*	X17283	100616179	120593238	120593303	66	-	1085	upstream	1085	MIR4498
chr12	120935438	120935572	135	*	X17329	100506668	120928141	120933749	5609	-	1688	upstream	1688	NRAV
chr12	123463118	123463257	140	*	X17611	51329	123464880	123467460	2581	+	1622	upstream	1622	ARL6IP4
chr12	125398443	125398582	140	*	X17948	100847004	125400093	125400205	113	+	1510	upstream	1510	MIR5188
chr12	132513942	132514136	195	*	X18139	677829	132515769	132515905	137	+	1632	upstream	1632	SNORA49
chr13	21009635	21009906	272	*	X18401	100616304	21007917	21007985	69	-	1649	upstream	1649	MIR4499
chr13	24829068	24829187	120	*	X18481	100874231	24826887	24828577	1691	-	490	upstream	490	SPATA13-AS1
chr13	24829593	24829727	135	*	X18482	100874231	24826887	24828577	1691	-	1015	upstream	1015	SPATA13-AS1
chr13	41302728	41302774	47	*	X18686	100313896	41301964	41302011	48	-	716	upstream	716	MIR320D1
chr13	45912231	45912380	150	*	X18734	677814	45911615	45911744	130	-	486	upstream	486	SNORA31
chr13	100002798	100002932	135	*	X19184	100131561	100003674	100004281	608	+	741	upstream	741	FKSG29
chr13	100006818	100006967	150	*	X19185	693208	100008385	100008482	98	+	1417	upstream	1417	MIR623
chr13	100007706	100007823	118	*	X19186	693208	100008385	100008482	98	+	561	upstream	561	MIR623
chr13	113861069	113861218	150	*	X19545	8451	113863086	113919392	56307	+	1867	upstream	1867	CUL4A
chr14	21540427	21540546	120	*	X19726	57447	21484922	21539031	54110	-	1395	upstream	1395	NDRG2
chr14	21853647	21853724	78	*	X19779	11198	21819631	21852425	32795	-	1221	upstream	1221	SUPT16H
